Date,YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M
01-01-1982,1982,1,1,23.86,14.77,19.31,24.09,-258.46,32.15,17.46,10.56,60.5,0,100.19,2.92,5.38,0.65,4.73,142.81
02-01-1982,1982,1,2,23.94,15.37,19.65,24.18,-258.74,32.38,17.98,10.99,62.25,0,100.11,3.15,6.13,1.59,4.55,155.75
03-01-1982,1982,1,3,23.72,16.02,19.87,24.29,-260.18,31.07,18.1,11.47,65.38,0,100,2.63,3.95,1.48,2.46,186
04-01-1982,1982,1,4,22.94,16.96,19.94,24.04,-261.65,29.83,18.32,12.15,72.12,0,100.11,2.73,4.05,1.56,2.49,171.62
05-01-1982,1982,1,5,23.79,14.72,19.25,24.51,-257.69,32.32,16.86,10.5,60.62,0,100.17,2.08,3.47,0.44,3.04,110.38
06-01-1982,1982,1,6,24.49,15.77,20.13,25.1,-258.1,32.99,17.94,11.23,62.5,0,100.11,2.92,5.21,1.17,4.04,158.44
07-01-1982,1982,1,7,24.26,15.68,19.97,25.07,-258.18,32.75,17.78,11.23,63.25,0,100.18,3.09,5.95,0.65,5.3,180.12
08-01-1982,1982,1,8,23.8,15.73,19.76,24.23,-259.09,31.84,17.78,11.23,64.19,0,100.21,3.45,5.84,1.37,4.48,170.06
09-01-1982,1982,1,9,22.83,17.37,20.1,23.9,-262.15,28.69,17.69,12.45,73.19,0,100.18,2.45,4.27,1.43,2.84,204.31
10-01-1982,1982,1,10,22.67,17.19,19.93,23.98,-263,28.65,18.5,12.33,73.62,0,100.11,2.12,4.05,0.72,3.33,233.75
11-01-1982,1982,1,11,21.79,12.93,17.36,22.87,-259.17,29.8,15.81,9.4,61.62,0,100.08,2.55,3.97,0.69,3.28,162.19
12-01-1982,1982,1,12,21.72,12.64,17.18,22.4,-258.99,29.65,15.49,9.22,60.19,0.03,100.09,2.62,4.41,1.13,3.27,175.94
13-01-1982,1982,1,13,22.02,14.46,18.24,22.53,-259.81,29.09,15.75,10.31,65.19,0.12,100.13,2.76,4.87,0.71,4.16,188.31
14-01-1982,1982,1,14,22.34,15.3,18.82,22.88,-260.83,29.05,16.73,10.86,66.88,0,100.19,2.34,4.43,0.51,3.92,191
15-01-1982,1982,1,15,22.46,15.04,18.75,23.57,-258.23,30.8,15.87,10.68,67.19,0,100.2,2.38,3.2,0.91,2.29,172.69
16-01-1982,1982,1,16,23.27,15.17,19.23,24.27,-258.07,31.92,16.85,10.8,64.44,0,100.21,2.63,3.71,1.63,2.07,170.12
17-01-1982,1982,1,17,23.17,13.37,18.27,24.01,-258.16,31.8,16.81,9.64,58.81,0,100.19,2.61,3.38,0.52,2.86,160.25
18-01-1982,1982,1,18,23.09,12.46,17.77,23.75,-258.27,31.82,16.94,9.16,55.88,0,100.24,2.48,3.72,0.51,3.21,172.94
19-01-1982,1982,1,19,22.89,12.47,17.68,23.93,-257.67,31.83,16.36,9.09,56.81,0,100.21,2.44,3.73,0.63,3.09,153.44
20-01-1982,1982,1,20,23.44,11.77,17.6,24.29,-257.31,32.55,16.71,8.73,51.62,0,100.15,2.66,4.04,0.41,3.62,182.31
21-01-1982,1982,1,21,22.8,12.08,17.44,23.56,-259.74,30.75,17.35,8.85,54.06,0,100.29,2.67,4.16,1.48,2.67,200.31
22-01-1982,1982,1,22,21.7,11.11,16.4,22.87,-259.25,29.6,15.7,8.24,54.44,0,100.29,3.43,4.67,2.46,2.21,174.19
23-01-1982,1982,1,23,21.65,8.94,15.29,22.67,-257.45,30.8,15.09,7.2,47.69,0,100.22,3.42,5.62,1.23,4.4,147.62
24-01-1982,1982,1,24,21.74,7.84,14.79,22.73,-256.75,31.33,14.92,6.71,44.44,0,100.24,3.09,5.31,0.63,4.69,144.81
25-01-1982,1982,1,25,21.92,8.6,15.26,22.72,-258.12,30.58,15.55,7.08,46.31,0,100.35,2.58,4.08,0.13,3.95,174.69
26-01-1982,1982,1,26,22.38,10.31,16.34,23.08,-259.85,30.4,17.09,7.93,50,0,100.37,2.31,4.45,0.92,3.53,202.06
27-01-1982,1982,1,27,22.13,12.04,17.08,23.23,-257.54,30.8,15.19,8.85,57.06,0,100.33,2.65,4.2,0.27,3.93,157.62
28-01-1982,1982,1,28,23.9,15.58,19.75,24.84,-256.63,32.87,16.35,11.11,63.88,0.43,100.16,2.82,4.87,1.16,3.7,153.56
29-01-1982,1982,1,29,25.48,18.05,21.76,26.78,-259.76,33.01,19.62,13,66.69,0.2,100.18,2.91,5.66,0.83,4.83,181.81
30-01-1982,1982,1,30,25.66,19.47,22.56,27.06,-263.31,31.36,21.51,14.16,71,0.35,100.21,2.23,4.1,0.35,3.75,200.94
31-01-1982,1982,1,31,24.72,18.94,21.83,26.55,-261.83,31.29,19.97,13.73,73.81,0.41,100.17,2.44,4.2,1.18,3.03,195.44
01-02-1982,1982,2,1,24.58,17.03,20.81,26.33,-258.75,32.88,18.49,12.27,68.56,0.02,100.12,2.43,4.19,0.71,3.48,150.88
02-02-1982,1982,2,2,24.7,16.32,20.51,26.01,-258.7,32.87,18.42,11.66,64.31,0,100.04,2.8,4.61,1.49,3.12,186.81
03-02-1982,1982,2,3,23.58,16.78,20.18,24.91,-260.67,30.56,18.08,12.02,69.69,0,100.14,2.66,5.45,0.89,4.55,228.31
04-02-1982,1982,2,4,23.16,14.74,18.95,24.34,-261.26,30.01,18.12,10.5,62.31,0,100.16,2.31,4.15,0.7,3.45,252.94
05-02-1982,1982,2,5,22.47,10.58,16.52,23.99,-258.09,31.07,16,8.06,52.62,0,100.2,3.41,4.47,2.48,1.98,158.75
06-02-1982,1982,2,6,22,8.48,15.24,23.52,-256.71,31.09,14.66,7.02,45.94,0,100.1,3.09,4.24,2.4,1.84,200.44
07-02-1982,1982,2,7,22.76,9.12,15.94,23.94,-257.65,31.34,15.83,7.26,46.12,0,100.1,2.57,3.7,1.88,1.81,187.44
08-02-1982,1982,2,8,24.44,6.98,15.71,25.42,-254.11,35.19,16.15,6.47,37.94,0,100.01,3.05,4,2.09,1.91,162.31
09-02-1982,1982,2,9,25.39,8.64,17.01,26.54,-254.46,36.08,17.4,7.2,39.56,0,100.03,3.13,4.65,1.17,3.48,164.81
10-02-1982,1982,2,10,25.96,9.93,17.94,27.15,-254.98,36.42,18.25,7.81,41.5,0,100.08,2.89,4.78,0.81,3.98,173
11-02-1982,1982,2,11,25.15,14.18,19.66,26.54,-258.2,33.76,18.81,10.19,55.75,0,100.07,2.65,5.45,1.43,4.01,194.25
12-02-1982,1982,2,12,24.03,17.02,20.52,25.71,-259.71,31.78,18.34,12.21,69.44,0,100.09,3.07,5.38,1.59,3.79,226.06
13-02-1982,1982,2,13,23.8,15.46,19.63,26.19,-260.62,31.53,19,11.11,64.44,0,100.13,2.55,3.77,1.73,2.03,292.25
14-02-1982,1982,2,14,23.62,8.4,16.01,25.18,-255.61,33.36,15.82,6.96,42.81,0,100.18,2.84,4.95,0.8,4.15,211.75
15-02-1982,1982,2,15,24.19,10.17,17.18,25.19,-257.13,33.37,17.34,7.87,45.5,0,100.12,2.4,5.67,0.54,5.13,203.88
16-02-1982,1982,2,16,24.4,12.12,18.26,25.64,-257.51,33.76,18.12,9.03,53.12,0,100,2.58,5.8,0.25,5.55,259.44
17-02-1982,1982,2,17,24.04,14.15,19.09,25.87,-260.34,31.97,19.15,10.38,60.25,0,100.05,3.16,5.02,1.58,3.44,245.62
18-02-1982,1982,2,18,24.03,12.57,18.3,25.73,-257.26,33.05,17.16,9.16,53.69,0,100.09,3.24,5.77,2.03,3.74,177
